NOM PDV,ADRESSE PDV,LOCALISATION
Alimentation SANTA MARIA,HLM LAS PALMAS,"17°24'25.10""W  14°46'7.07""N"
BAR LE RAVIN,ravin canada,"17°23'57.91""W  14°46'14.94""N"
Alimentation David mendy,cheikh wade,"17°23'16.55""W  14°46'51.81""N"
Alimentation Elizabeth mendy,pikine marché peund,"17°23'22.21""W  14°46'5.50""N"
Alimentation Chez Richard,cité djinkhoume,"17°25'59.02""W  14°45'35.52""N"
BAR LA CASE CHEZ PASCAL,baylaye,"17°22'42.29""W  14°47'7.01""N"
BAR ELRON DIAM DOU DOYE,Alminko,"17°22'41.70""W  14°47'5.60""N"
KADJINDIASSA,baylaye,"17°25'15.69""W  14°46'21.40""N"
CHEZ GAS,Bayelaye,"17°22'23.71""W  14°45'50.86""N"
Alimention jean pierre baylaye,baylaye,"17°22'34.45""W  14°46'53.00""N"
Dépot JEAN PIERRE MENDY,marché bou bess guédiawaye,"17°22'16.02""W  14°46'29.85""N"
Bar Chez JOE,église,"17°22'7.46""W  14°46'42.05""N"
BAR FILAO,police wakinane,"17°22'35.66""W  14°47'14.88""N"
Alimentation Chez François,Amond 6,"17°22'55.82""W  14°47'4.74""N"
BAR CHEZ ALAIN,wakinane nimzatt,"17°22'55.88""W  14°46'59.36""N"
Barassa,marché ndiarème,"17°22'52.71""W  14°46'52.78""N"
Alimentation Chez Cap Gomis,marché bou bess arret 27,"17°22'28.80""W  14°46'36.04""N"
BAR KAPOL,prèt de chez andré guédiawaye,"17°22'36.82""W  14°46'37.50""N"
Alimentation Cocotier,Dalifor,"17°25'4.85""W  14°44'33.49""N"
Bar Logon,Dalifor côté Police,"17°25'13.92""W  14°44'13.04""N"
Bar Chez Julie,Dalifor côté Église,"17°25'9.94""W  14°44'33.48""N"
Alimentation Chez Patrice,Dalifor après marché,"17°25'9.79""W  14°44'39.64""N"
Alimentation Big Ji,Maristes,"17°25'15.82""W  14°44'6.48""N"
